date	time	open	high	low	close	tickvolume	volume	spread
2018.06.26	11:11:00	1.16796	1.16804	1.16794	1.16795	80	0	2
2018.06.26	11:12:00	1.16795	1.16804	1.16782	1.16787	111	0	1
2018.06.26	11:13:00	1.16787	1.16818	1.16773	1.16808	216	0	2
2018.06.26	11:14:00	1.16808	1.16830	1.16802	1.16825	157	0	1
2018.06.26	11:15:00	1.16825	1.16836	1.16816	1.16822	102	0	1
2018.06.26	11:16:00	1.16822	1.16830	1.16818	1.16824	113	0	2
2018.06.26	11:17:00	1.16824	1.16824	1.16801	1.16803	124	0	1
2018.06.26	11:18:00	1.16803	1.16817	1.16794	1.16796	152	0	2
2018.06.26	11:19:00	1.16796	1.16800	1.16780	1.16791	121	0	2
2018.06.26	11:20:00	1.16791	1.16791	1.16722	1.16728	337	0	2
2018.06.26	11:21:00	1.16727	1.16731	1.16705	1.16713	282	0	1
2018.06.26	11:22:00	1.16713	1.16721	1.16695	1.16716	159	0	1
2018.06.26	11:23:00	1.16716	1.16742	1.16707	1.16733	147	0	1
2018.06.26	11:24:00	1.16733	1.16748	1.16721	1.16746	117	0	2
2018.06.26	11:25:00	1.16746	1.16781	1.16734	1.16774	207	0	1
2018.06.26	11:26:00	1.16774	1.16788	1.16760	1.16779	111	0	1
2018.06.26	11:27:00	1.16779	1.16779	1.16735	1.16740	186	0	1
2018.06.26	11:28:00	1.16740	1.16747	1.16737	1.16745	49	0	1
2018.06.26	11:29:00	1.16745	1.16757	1.16745	1.16753	78	0	1
2018.06.26	11:30:00	1.16752	1.16752	1.16722	1.16743	311	0	1
2018.06.26	11:31:00	1.16743	1.16758	1.16740	1.16753	151	0	1
2018.06.26	11:32:00	1.16753	1.16755	1.16734	1.16739	134	0	1
2018.06.26	11:33:00	1.16739	1.16752	1.16729	1.16735	147	0	1
2018.06.26	11:34:00	1.16735	1.16739	1.16711	1.16738	216	0	1
2018.06.26	11:35:00	1.16738	1.16777	1.16728	1.16768	142	0	2
2018.06.26	11:36:00	1.16768	1.16780	1.16763	1.16774	134	0	1
2018.06.26	11:37:00	1.16774	1.16797	1.16758	1.16791	258	0	1
2018.06.26	11:38:00	1.16791	1.16794	1.16773	1.16776	155	0	2
2018.06.26	11:39:00	1.16776	1.16779	1.16724	1.16728	238	0	1
2018.06.26	11:40:00	1.16728	1.16747	1.16724	1.16735	211	0	2
2018.06.26	11:41:00	1.16735	1.16742	1.16703	1.16714	140	0	1
2018.06.26	11:42:00	1.16714	1.16745	1.16708	1.16745	94	0	1
2018.06.26	11:43:00	1.16745	1.16754	1.16735	1.16748	134	0	2
2018.06.26	11:44:00	1.16748	1.16758	1.16740	1.16754	145	0	1
2018.06.26	11:45:00	1.16756	1.16793	1.16755	1.16793	148	0	1
2018.06.26	11:46:00	1.16793	1.16830	1.16787	1.16806	198	0	1
2018.06.26	11:47:00	1.16806	1.16820	1.16773	1.16776	180	0	2
2018.06.26	11:48:00	1.16775	1.16788	1.16759	1.16785	188	0	1
2018.06.26	11:49:00	1.16785	1.16787	1.16754	1.16756	161	0	1
2018.06.26	11:50:00	1.16755	1.16758	1.16725	1.16749	207	0	2
2018.06.26	11:51:00	1.16749	1.16750	1.16735	1.16750	108	0	1
2018.06.26	11:52:00	1.16750	1.16778	1.16750	1.16771	148	0	1
2018.06.26	11:53:00	1.16771	1.16778	1.16744	1.16749	101	0	2
2018.06.26	11:54:00	1.16749	1.16762	1.16748	1.16760	75	0	2
2018.06.26	11:55:00	1.16760	1.16761	1.16740	1.16747	89	0	2
2018.06.26	11:56:00	1.16747	1.16763	1.16745	1.16757	74	0	2
2018.06.26	11:57:00	1.16757	1.16776	1.16755	1.16768	82	0	1
2018.06.26	11:58:00	1.16768	1.16775	1.16755	1.16761	129	0	2
2018.06.26	11:59:00	1.16761	1.16761	1.16726	1.16726	114	0	1
2018.06.26	12:00:00	1.16726	1.16736	1.16705	1.16710	275	0	2
2018.06.26	12:01:00	1.16710	1.16756	1.16705	1.16751	188	0	1
2018.06.26	12:02:00	1.16751	1.16769	1.16747	1.16761	193	0	1
2018.06.26	12:03:00	1.16761	1.16766	1.16733	1.16750	241	0	2
2018.06.26	12:04:00	1.16750	1.16755	1.16729	1.16732	239	0	1
2018.06.26	12:05:00	1.16732	1.16737	1.16699	1.16710	131	0	1
2018.06.26	12:06:00	1.16710	1.16727	1.16701	1.16724	93	0	1
2018.06.26	12:07:00	1.16724	1.16731	1.16716	1.16722	101	0	2
2018.06.26	12:08:00	1.16722	1.16769	1.16709	1.16751	251	0	1
2018.06.26	12:09:00	1.16751	1.16761	1.16665	1.16665	334	0	2
2018.06.26	12:10:00	1.16666	1.16687	1.16640	1.16655	366	0	1
2018.06.26	12:11:00	1.16655	1.16658	1.16630	1.16639	327	0	2
2018.06.26	12:12:00	1.16639	1.16665	1.16634	1.16642	340	0	1
2018.06.26	12:13:00	1.16642	1.16661	1.16639	1.16659	322	0	1
2018.06.26	12:14:00	1.16659	1.16670	1.16651	1.16660	142	0	1
2018.06.26	12:15:00	1.16660	1.16671	1.16645	1.16652	326	0	1
2018.06.26	12:16:00	1.16652	1.16692	1.16652	1.16677	196	0	1
2018.06.26	12:17:00	1.16677	1.16687	1.16655	1.16666	228	0	1
2018.06.26	12:18:00	1.16666	1.16681	1.16660	1.16670	227	0	2
2018.06.26	12:19:00	1.16671	1.16682	1.16659	1.16675	172	0	1
2018.06.26	12:20:00	1.16675	1.16675	1.16657	1.16662	94	0	2
2018.06.26	12:21:00	1.16662	1.16662	1.16630	1.16631	180	0	2
2018.06.26	12:22:00	1.16631	1.16675	1.16628	1.16667	209	0	1
2018.06.26	12:23:00	1.16667	1.16682	1.16653	1.16682	150	0	2
2018.06.26	12:24:00	1.16682	1.16693	1.16655	1.16655	189	0	1
2018.06.26	12:25:00	1.16655	1.16672	1.16631	1.16667	193	0	2
2018.06.26	12:26:00	1.16668	1.16682	1.16656	1.16661	208	0	2
2018.06.26	12:27:00	1.16661	1.16662	1.16641	1.16646	271	0	1
2018.06.26	12:28:00	1.16646	1.16671	1.16643	1.16665	238	0	2
2018.06.26	12:29:00	1.16666	1.16668	1.16636	1.16645	160	0	2
2018.06.26	12:30:00	1.16646	1.16662	1.16613	1.16618	236	0	1
2018.06.26	12:31:00	1.16620	1.16622	1.16583	1.16601	476	0	1
2018.06.26	12:32:00	1.16601	1.16610	1.16590	1.16597	185	0	1
2018.06.26	12:33:00	1.16597	1.16597	1.16569	1.16570	275	0	1
2018.06.26	12:34:00	1.16570	1.16570	1.16514	1.16522	432	0	1
2018.06.26	12:35:00	1.16522	1.16566	1.16509	1.16560	514	0	1
2018.06.26	12:36:00	1.16560	1.16566	1.16532	1.16566	238	0	1
2018.06.26	12:37:00	1.16566	1.16567	1.16536	1.16539	298	0	2
2018.06.26	12:38:00	1.16538	1.16552	1.16512	1.16535	286	0	1
2018.06.26	12:39:00	1.16536	1.16558	1.16532	1.16546	279	0	2
2018.06.26	12:40:00	1.16546	1.16588	1.16542	1.16554	422	0	1
2018.06.26	12:41:00	1.16554	1.16571	1.16527	1.16567	308	0	1
2018.06.26	12:42:00	1.16567	1.16588	1.16547	1.16586	255	0	1
2018.06.26	12:43:00	1.16585	1.16603	1.16576	1.16597	209	0	1
2018.06.26	12:44:00	1.16597	1.16608	1.16568	1.16602	326	0	1
2018.06.26	12:45:00	1.16602	1.16607	1.16585	1.16595	232	0	2
2018.06.26	12:46:00	1.16597	1.16618	1.16596	1.16599	176	0	1
2018.06.26	12:47:00	1.16599	1.16602	1.16572	1.16583	206	0	1
2018.06.26	12:48:00	1.16583	1.16593	1.16564	1.16566	149	0	1
2018.06.26	12:49:00	1.16567	1.16578	1.16546	1.16576	159	0	1
2018.06.26	12:50:00	1.16576	1.16577	1.16559	1.16562	160	0	2
2018.06.26	12:51:00	1.16562	1.16585	1.16551	1.16577	165	0	2
2018.06.26	12:52:00	1.16577	1.16589	1.16577	1.16582	184	0	2
2018.06.26	12:53:00	1.16582	1.16599	1.16564	1.16592	133	0	1
2018.06.26	12:54:00	1.16592	1.16601	1.16587	1.16601	53	0	2
2018.06.26	12:55:00	1.16601	1.16627	1.16593	1.16620	137	0	2
2018.06.26	12:56:00	1.16620	1.16640	1.16599	1.16602	279	0	1
2018.06.26	12:57:00	1.16601	1.16633	1.16584	1.16628	209	0	1
2018.06.26	12:58:00	1.16628	1.16641	1.16612	1.16637	147	0	2
2018.06.26	12:59:00	1.16637	1.16637	1.16600	1.16600	221	0	1
2018.06.26	13:00:00	1.16599	1.16611	1.16584	1.16591	326	0	1
2018.06.26	13:01:00	1.16591	1.16606	1.16580	1.16595	165	0	2
2018.06.26	13:02:00	1.16595	1.16612	1.16585	1.16607	141	0	2
2018.06.26	13:03:00	1.16607	1.16612	1.16601	1.16603	106	0	1
2018.06.26	13:04:00	1.16603	1.16618	1.16603	1.16614	123	0	1
2018.06.26	13:05:00	1.16614	1.16621	1.16603	1.16612	139	0	1
2018.06.26	13:06:00	1.16612	1.16618	1.16597	1.16617	212	0	1
2018.06.26	13:07:00	1.16617	1.16644	1.16617	1.16633	152	0	2
2018.06.26	13:08:00	1.16633	1.16638	1.16623	1.16636	80	0	2
2018.06.26	13:09:00	1.16636	1.16643	1.16602	1.16602	162	0	1
2018.06.26	13:10:00	1.16603	1.16643	1.16597	1.16634	172	0	1
2018.06.26	13:11:00	1.16634	1.16634	1.16596	1.16598	179	0	1
2018.06.26	13:12:00	1.16600	1.16603	1.16566	1.16566	286	0	1
2018.06.26	13:13:00	1.16566	1.16593	1.16558	1.16593	189	0	1
2018.06.26	13:14:00	1.16593	1.16598	1.16566	1.16574	216	0	2
2018.06.26	13:15:00	1.16574	1.16591	1.16570	1.16586	177	0	2
2018.06.26	13:16:00	1.16586	1.16603	1.16584	1.16586	178	0	1
2018.06.26	13:17:00	1.16586	1.16611	1.16582	1.16606	90	0	1
2018.06.26	13:18:00	1.16606	1.16611	1.16592	1.16597	70	0	1
2018.06.26	13:19:00	1.16597	1.16638	1.16597	1.16621	164	0	1
2018.06.26	13:20:00	1.16621	1.16638	1.16617	1.16633	159	0	1
2018.06.26	13:21:00	1.16633	1.16634	1.16621	1.16629	82	0	2
2018.06.26	13:22:00	1.16629	1.16672	1.16629	1.16667	134	0	1
2018.06.26	13:23:00	1.16667	1.16671	1.16651	1.16670	118	0	1
2018.06.26	13:24:00	1.16670	1.16677	1.16662	1.16668	66	0	2
2018.06.26	13:25:00	1.16668	1.16668	1.16645	1.16655	136	0	1
2018.06.26	13:26:00	1.16655	1.16681	1.16649	1.16666	189	0	1
2018.06.26	13:27:00	1.16667	1.16678	1.16647	1.16674	202	0	1
2018.06.26	13:28:00	1.16674	1.16678	1.16661	1.16667	236	0	1
